"Type","Pages","TitleMissing","DescMissing","TitleKW0","TitleKW1","TitleKW2Plus","DescKW0","DescKW1","DescKW2Plus","TitleEqualsOG","DescEqualsOG"
"메인","1","0","0","0","1","0","0","1","0","1","0"
"시도","39","0","1","5","34","0","36","3","0","38","38"
"시군구","127","0","38","38","89","0","74","53","0","89","89"
"동읍면","4","0","1","1","3","0","1","3","0","3","3"
"업체상세","3832","0","0","3832","0","0","3832","0","0","0","0"
"기타","1382","0","48","904","478","0","984","398","0","1316","1316"
