"Class","Pages","TitleTemplateGroups","TitleTemplateAffectedPages","DescriptionTemplateGroups","DescriptionTemplateAffectedPages"
"지역SEO","1423","235","1077","213","883"
"업체상세","3832","108","3752","957","2868"
"기타","130","4","75","0","0"
