"File","Title","Description","OGTitleMissing","OGDescriptionMissing"
"shops/seoul/gangnam-gu/도곡동/프리미엄테라피/index.html","프리미엄테라피 | 강남구 도곡동 이용 안내","강남구 도곡동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/삼성동/한국미인테라피/index.html","한국미인테라피 | 강남구 삼성동 이용 안내","강남구 삼성동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/삼성동/너무이쁜테라피/index.html","너무이쁜테라피 | 강남구 삼성동 이용 안내","강남구 삼성동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/삼성동/love테라피/index.html","love테라피 | 강남구 삼성동 이용 안내","강남구 삼성동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/삼성동/프리미엄테라피/index.html","프리미엄테라피 | 강남구 삼성동 이용 안내","강남구 삼성동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/세곡동/한국미인테라피/index.html","한국미인테라피 | 강남구 세곡동 이용 안내","강남구 세곡동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/세곡동/너무이쁜테라피/index.html","너무이쁜테라피 | 강남구 세곡동 이용 안내","강남구 세곡동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/세곡동/love테라피/index.html","love테라피 | 강남구 세곡동 이용 안내","강남구 세곡동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/세곡동/프리미엄테라피/index.html","프리미엄테라피 | 강남구 세곡동 이용 안내","강남구 세곡동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangnam-gu/수서동/한국미인테라피/index.html","한국미인테라피 | 강남구 수서동 이용 안내","강남구 수서동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
