"File","Class","Title","Canonical","CanonicalTagCount","Missing","DuplicateCanonical","RelativeCanonical","NonHttps","Host","WrongHost","ExpectedPath","CanonicalPath","SelfPathMatch"
"data/shop-detail-template.html","기타","한국미인테라피 | 강남구 역삼동 출장마사지 업체 안내","","0","True","False","False","False","","False","/data/shop-detail-template.html","","False"
"shops/seoul/gangnam-gu/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 업체 상세정보 | 몽라운지","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/한국미인테라피/","","False"
"shops/seoul/gangnam-gu/역삼동/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 역삼동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/역삼동/한국미인테라피/","","False"
"shops/seoul/gangnam-gu/역삼동/너무이쁜테라피/index.html","업체상세","너무이쁜테라피 | 강남구 역삼동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/역삼동/너무이쁜테라피/","","False"
"shops/seoul/gangnam-gu/역삼동/love테라피/index.html","업체상세","love테라피 | 강남구 역삼동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/역삼동/love테라피/","","False"
"shops/seoul/gangnam-gu/역삼동/프리미엄테라피/index.html","업체상세","프리미엄테라피 | 강남구 역삼동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/역삼동/프리미엄테라피/","","False"
"shops/seoul/gangnam-gu/개포동/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 개포동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/개포동/한국미인테라피/","","False"
"shops/seoul/gangnam-gu/개포동/너무이쁜테라피/index.html","업체상세","너무이쁜테라피 | 강남구 개포동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/개포동/너무이쁜테라피/","","False"
"shops/seoul/gangnam-gu/개포동/love테라피/index.html","업체상세","love테라피 | 강남구 개포동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/개포동/love테라피/","","False"
"shops/seoul/gangnam-gu/개포동/프리미엄테라피/index.html","업체상세","프리미엄테라피 | 강남구 개포동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/개포동/프리미엄테라피/","","False"
"shops/seoul/gangnam-gu/논현동/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 논현동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/논현동/한국미인테라피/","","False"
"shops/seoul/gangnam-gu/논현동/너무이쁜테라피/index.html","업체상세","너무이쁜테라피 | 강남구 논현동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/논현동/너무이쁜테라피/","","False"
"shops/seoul/gangnam-gu/논현동/love테라피/index.html","업체상세","love테라피 | 강남구 논현동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/논현동/love테라피/","","False"
"shops/seoul/gangnam-gu/논현동/프리미엄테라피/index.html","업체상세","프리미엄테라피 | 강남구 논현동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/논현동/프리미엄테라피/","","False"
"shops/seoul/gangnam-gu/대치동/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 대치동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/대치동/한국미인테라피/","","False"
"shops/seoul/gangnam-gu/대치동/너무이쁜테라피/index.html","업체상세","너무이쁜테라피 | 강남구 대치동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/대치동/너무이쁜테라피/","","False"
"shops/seoul/gangnam-gu/대치동/love테라피/index.html","업체상세","love테라피 | 강남구 대치동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/대치동/love테라피/","","False"
"shops/seoul/gangnam-gu/대치동/프리미엄테라피/index.html","업체상세","프리미엄테라피 | 강남구 대치동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/대치동/프리미엄테라피/","","False"
"shops/seoul/gangnam-gu/도곡동/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 도곡동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/도곡동/한국미인테라피/","","False"
"shops/seoul/gangnam-gu/도곡동/너무이쁜테라피/index.html","업체상세","너무이쁜테라피 | 강남구 도곡동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/도곡동/너무이쁜테라피/","","False"
"shops/seoul/gangnam-gu/도곡동/love테라피/index.html","업체상세","love테라피 | 강남구 도곡동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/도곡동/love테라피/","","False"
"shops/seoul/gangnam-gu/도곡동/프리미엄테라피/index.html","업체상세","프리미엄테라피 | 강남구 도곡동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/도곡동/프리미엄테라피/","","False"
"shops/seoul/gangnam-gu/삼성동/한국미인테라피/index.html","업체상세","한국미인테라피 | 강남구 삼성동 이용 안내","","0","True","False","False","False","","False","/shops/seoul/gangnam-gu/삼성동/한국미인테라피/","","False"
