"Class","Pages","TitleTemplateGroups","TitleTemplateAffectedPages","DescriptionTemplateGroups","DescriptionTemplateAffectedPages"
"지역SEO","1423","78","1308","200","1106"
"업체상세","3832","14","3828","14","3828"
"기타","130","4","75","0","0"
