"업체명","적용지역","광역지역","상위지역","하위지역","대표역","대표역주소","위치표시","주소표시","역거리km","역사용여부","계산상가까운역"
"한국미인테라피","경기","경기","고양시-일산서구","대화동","대화역","경기도 고양시 일산서구 중앙로 1569(대화동 2221)","대화역 인근","경기도 고양시 일산서구 중앙로 1569(대화동 2221)","0.30","Y","대화역"
"한국미인테라피","경기","경기","고양시-일산서구","덕이동","탄현역","경기도 고양시 일산서구 경의로 856(덕이동)","탄현역 인근","경기도 고양시 일산서구 경의로 856(덕이동)","1.44","Y","탄현역"
"한국미인테라피","경기","경기","고양시-일산서구","송포동","대화역","경기도 고양시 일산서구 중앙로 1569(대화동 2221)","대화역 인근","경기도 고양시 일산서구 중앙로 1569(대화동 2221)","2.77","Y","대화역"
"한국미인테라피","경기","경기","고양시-일산서구","일산동","일산역","경기도 고양시 일산서구 경의로 672","일산역 인근","경기도 고양시 일산서구 경의로 672","0.25","Y","일산역"
"한국미인테라피","경기","경기","고양시-일산서구","주엽동","주엽역","경기도 고양시 일산서구 중앙로 1432(주엽동 166-7)","주엽역 인근","경기도 고양시 일산서구 중앙로 1432(주엽동 166-7)","0.13","Y","주엽역"
"한국미인테라피","경기","경기","고양시-일산서구","탄현동","","","탄현동 중심","경기 고양시 일산서구 탄현동","","N",""
"한국미인테라피","경기","경기","과천시","갈현동","정부과천청사역","경기도 과천시 중앙로 지하 100","정부과천청사역 인근","경기도 과천시 중앙로 지하 100","1.44","Y","정부과천청사역"
"한국미인테라피","경기","경기","과천시","과천동","선바위역","경기도 과천시 중앙로 440","선바위역 인근","경기도 과천시 중앙로 440","0.26","Y","선바위역"
"한국미인테라피","경기","경기","과천시","문원동","정부과천청사역","경기도 과천시 중앙로 지하 100","정부과천청사역 인근","경기도 과천시 중앙로 지하 100","1.17","Y","정부과천청사역"
"한국미인테라피","경기","경기","과천시","별양동","정부과천청사역","경기도 과천시 중앙로 지하 100","정부과천청사역 인근","경기도 과천시 중앙로 지하 100","0.55","Y","정부과천청사역"
"한국미인테라피","경기","경기","과천시","부림동","과천역","경기도 과천시 별양로 지하 177","과천역 인근","경기도 과천시 별양로 지하 177","0.29","Y","과천역"
"한국미인테라피","경기","경기","과천시","원문동","정부과천청사역","경기도 과천시 중앙로 지하 100","정부과천청사역 인근","경기도 과천시 중앙로 지하 100","0.49","Y","정부과천청사역"
"한국미인테라피","경기","경기","과천시","중앙동","정부과천청사역","경기도 과천시 중앙로 지하 100","정부과천청사역 인근","경기도 과천시 중앙로 지하 100","0.27","Y","정부과천청사역"
"한국미인테라피","경기","경기","광명시","광명동","광명사거리역","경기도 광명시 오리로 지하980(광명동)","광명사거리역 인근","경기도 광명시 오리로 지하980(광명동)","0.42","Y","광명사거리역"
"한국미인테라피","경기","경기","광명시","소하동","금천구청역","서울시 금천구 시흥대로 63길 91","금천구청역 인근","서울시 금천구 시흥대로 63길 91","1.75","Y","금천구청역"
"한국미인테라피","경기","경기","광명시","일직동","광명역","경기도 광명시 광명역로 21","광명역 인근","경기도 광명시 광명역로 21","0.39","Y","광명역"
"한국미인테라피","경기","경기","광명시","철산동","철산역","경기도 광명시 철산로 지하13(철산동)","철산역 인근","경기도 광명시 철산로 지하13(철산동)","0.45","Y","철산역"
"한국미인테라피","경기","경기","광명시","하안동","철산역","경기도 광명시 철산로 지하13(철산동)","철산역 인근","경기도 광명시 철산로 지하13(철산동)","1.68","Y","철산역"
"한국미인테라피","경기","경기","광명시","학온동","광명역","경기도 광명시 광명역로 21","광명역 인근","경기도 광명시 광명역로 21","3.15","Y","광명역"
"한국미인테라피","경기","경기","광주시","경안동","경기광주역","경기도 광주시 광주역로 10 경기광주역사","경기광주역 인근","경기도 광주시 광주역로 10 경기광주역사","1.37","Y","경기광주역"
"한국미인테라피","경기","경기","광주시","곤지암읍","곤지암역","경기도 광주시 곤지암천로 333","곤지암역 인근","경기도 광주시 곤지암천로 333","1.40","Y","곤지암역"
"한국미인테라피","경기","경기","광주시","광남동","경기광주역","경기도 광주시 광주역로 10 경기광주역사","경기광주역 인근","경기도 광주시 광주역로 10 경기광주역사","2.34","Y","경기광주역"
"한국미인테라피","경기","경기","광주시","남종면","양수역","경기도 양평군 양서면 목왕로 55-10","양수역 인근","경기도 양평군 양서면 목왕로 55-10","5.16","Y","양수역"
"한국미인테라피","경기","경기","광주시","남한산성면","삼동역","경기도 광주시 순암로 451","삼동역 인근","경기도 광주시 순암로 451","6.36","Y","삼동역"
"한국미인테라피","경기","경기","광주시","능평동","미금역","경기도 성남시 수정구 성남대로 지하 156","미금역 인근","경기도 성남시 수정구 성남대로 지하 156","4.66","Y","미금역"
"한국미인테라피","경기","경기","광주시","도척면","곤지암역","경기도 광주시 곤지암천로 333","곤지암역 인근","경기도 광주시 곤지암천로 333","5.52","Y","곤지암역"
"한국미인테라피","경기","경기","광주시","송정동","경기광주역","경기도 광주시 광주역로 10 경기광주역사","경기광주역 인근","경기도 광주시 광주역로 10 경기광주역사","3.07","Y","경기광주역"
"한국미인테라피","경기","경기","광주시","신현동","서현역","경기도 성남시 분당구 성남대로 지하 601","서현역 인근","경기도 성남시 분당구 성남대로 지하 601","3.89","Y","서현역"
"한국미인테라피","경기","경기","광주시","쌍령동","경기광주역","경기도 광주시 광주역로 10 경기광주역사","경기광주역 인근","경기도 광주시 광주역로 10 경기광주역사","1.62","Y","경기광주역"
"한국미인테라피","경기","경기","광주시","오포동","경기광주역","경기도 광주시 광주역로 10 경기광주역사","경기광주역 인근","경기도 광주시 광주역로 10 경기광주역사","4.15","Y","경기광주역"
"한국미인테라피","경기","경기","광주시","초월읍","초월역","경기도 광주시 초월읍 경충대로 1066","초월역 인근","경기도 광주시 초월읍 경충대로 1066","2.67","Y","초월역"
"한국미인테라피","경기","경기","광주시","탄벌동","삼동역","경기도 광주시 순암로 451","삼동역 인근","경기도 광주시 순암로 451","3.09","Y","삼동역"
"한국미인테라피","경기","경기","광주시","퇴촌면","","","퇴촌면 중심","경기 광주시 퇴촌면","8.55","N","신원역"
"한국미인테라피","경기","경기","구리시","갈매동","갈매역","경기도 구리시 갈매동 경춘북로 229(갈매동 502-18)","갈매역 인근","경기도 구리시 갈매동 경춘북로 229(갈매동 502-18)","0.39","Y","갈매역"
"한국미인테라피","경기","경기","구리시","교문동","장자호수공원역","수택동 870-3 일원(장자2사거리)","장자호수공원역 인근","수택동 870-3 일원(장자2사거리)","0.92","Y","장자호수공원역"
"한국미인테라피","경기","경기","구리시","동구동","동구릉역","인창동 679-8 일원(구리도매시장)","동구릉역 인근","인창동 679-8 일원(구리도매시장)","0.40","Y","동구릉역"
"한국미인테라피","경기","경기","구리시","수택동","구리역","인창동 675-1 일원(구리역공원)","구리역 인근","인창동 675-1 일원(구리역공원)","0.71","Y","구리역"
"한국미인테라피","경기","경기","구리시","인창동","동구릉역","인창동 679-8 일원(구리도매시장)","동구릉역 인근","인창동 679-8 일원(구리도매시장)","0.39","Y","동구릉역"
"한국미인테라피","경기","경기","군포시","광정동","산본역","경기도 군포시 번영로 504","산본역 인근","경기도 군포시 번영로 504","0.93","Y","산본역"
"한국미인테라피","경기","경기","군포시","군포동","","","군포동 중심","경기 군포시 군포동","","N",""
"한국미인테라피","경기","경기","군포시","궁내동","산본역","경기도 군포시 번영로 504","산본역 인근","경기도 군포시 번영로 504","1.00","Y","산본역"
"한국미인테라피","경기","경기","군포시","금정동","금정역","경기도 군포시 군포로 750","금정역 인근","경기도 군포시 군포로 750","0.82","Y","금정역"
"한국미인테라피","경기","경기","군포시","대야동","대야미역","경기도 군포시 대야1로 28","대야미역 인근","경기도 군포시 대야1로 28","0.27","Y","대야미역"
"한국미인테라피","경기","경기","군포시","산본동","수리산역","경기도 군포시 번영로 385","수리산역 인근","경기도 군포시 번영로 385","1.13","Y","수리산역"
"한국미인테라피","경기","경기","군포시","송부동","대야미역","경기도 군포시 대야1로 28","대야미역 인근","경기도 군포시 대야1로 28","1.12","Y","대야미역"
"한국미인테라피","경기","경기","군포시","수리동","수리산역","경기도 군포시 번영로 385","수리산역 인근","경기도 군포시 번영로 385","0.75","Y","수리산역"
"한국미인테라피","경기","경기","군포시","오금동","수리산역","경기도 군포시 번영로 385","수리산역 인근","경기도 군포시 번영로 385","0.36","Y","수리산역"
"한국미인테라피","경기","경기","군포시","재궁동","산본역","경기도 군포시 번영로 504","산본역 인근","경기도 군포시 번영로 504","0.41","Y","산본역"
"한국미인테라피","경기","경기","김포시","고촌읍","고촌역","경기도 김포시 고촌읍 김포대로 지하 350","고촌역 인근","경기도 김포시 고촌읍 김포대로 지하 350","0.91","Y","고촌역"
"한국미인테라피","경기","경기","김포시","구래동","구래역","경기도 김포시 김포한강7로 87","구래역 인근","경기도 김포시 김포한강7로 87","0.17","Y","구래역"
"한국미인테라피","경기","경기","김포시","김포본동","걸포북변역","경기도 김포시 김포대로 지하 1040","걸포북변역 인근","경기도 김포시 김포대로 지하 1040","0.45","Y","걸포북변역"
"한국미인테라피","경기","경기","김포시","대곶면","양촌역","경기도 김포시 양촌읍 양촌역길 107","양촌역 인근","경기도 김포시 양촌읍 양촌역길 107","3.96","Y","양촌역"
"한국미인테라피","경기","경기","김포시","마산동","마산역","경기도 김포시 김포한강3로 지하 442","마산역 인근","경기도 김포시 김포한강3로 지하 442","0.10","Y","마산역"
"한국미인테라피","경기","경기","김포시","사우동","사우역","경기도 김포시 김포대로 지하 852","사우역 인근","경기도 김포시 김포대로 지하 852","0.59","Y","사우역"
"한국미인테라피","경기","경기","김포시","양촌읍","구래역","경기도 김포시 김포한강7로 87","구래역 인근","경기도 김포시 김포한강7로 87","1.33","Y","구래역"
"한국미인테라피","경기","경기","김포시","운양동","운양역","경기도 김포시 김포한강1로 지하 235","운양역 인근","경기도 김포시 김포한강1로 지하 235","0.28","Y","운양역"
"한국미인테라피","경기","경기","김포시","월곶면","","","월곶면 중심","경기 김포시 월곶면","10.24","N","양촌역"
"한국미인테라피","경기","경기","김포시","장기동","장기역","경기도 김포시 김포한강1로 지하 59","장기역 인근","경기도 김포시 김포한강1로 지하 59","0.24","Y","장기역"
"한국미인테라피","경기","경기","김포시","장기본동","장기역","경기도 김포시 김포한강1로 지하 59","장기역 인근","경기도 김포시 김포한강1로 지하 59","0.95","Y","장기역"
"한국미인테라피","경기","경기","김포시","통진읍","구래역","경기도 김포시 김포한강7로 87","구래역 인근","경기도 김포시 김포한강7로 87","5.93","Y","구래역"
"한국미인테라피","경기","경기","김포시","풍무동","풍무역","경기도 김포시 김포대로 지하 710","풍무역 인근","경기도 김포시 김포대로 지하 710","1.06","Y","풍무역"
"한국미인테라피","경기","경기","김포시","하성면","","","하성면 중심","경기 김포시 하성면","9.41","N","구래역"
"한국미인테라피","경기","경기","남양주시","금곡동","금곡역","경기도 남양주시 경춘로 903(금곡동 404-276)","금곡역 인근","경기도 남양주시 경춘로 903(금곡동 404-276)","0.87","Y","금곡역"
"한국미인테라피","경기","경기","남양주시","다산동","도농역","경기도 남양주시 경춘로 433(도농동 56-1)","도농역 인근","경기도 남양주시 경춘로 433(도농동 56-1)","0.30","Y","도농역"
"한국미인테라피","경기","경기","남양주시","별내동","별내별가람역","경기도 남양주시 별내3로 지하 345","별내별가람역 인근","경기도 남양주시 별내3로 지하 345","1.35","Y","별내별가람역"
"한국미인테라피","경기","경기","남양주시","별내면","탑석역","경기도 의정부시 충의로 20","탑석역 인근","경기도 의정부시 충의로 20","3.98","Y","탑석역"
"한국미인테라피","경기","경기","남양주시","수동면","천마산역","경기도 남양주시 화도읍 묵현로 25번길 37","천마산역 인근","경기도 남양주시 화도읍 묵현로 25번길 37","7.36","Y","천마산역"
"한국미인테라피","경기","경기","남양주시","양정동","양정역","경기도 남양주시 경강로 237(이패동 398-32)","양정역 인근","경기도 남양주시 경강로 237(이패동 398-32)","0.70","Y","양정역"
