"Item","Count"
"전체 HTML","5385"
"대표 canonical 호스트",""
"canonical 누락","3870"
"canonical 태그 2개 이상","0"
"상대경로 canonical","1515"
"HTTP canonical","0"
"다른 호스트 canonical","0"
"canonical 중복 그룹","67"
"canonical 중복 페이지","136"
"자기 경로 불일치","1515"
